,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Konya,0,TR,1563673730,68,37.87,32.48,64.4,9.17
1,Rikitea,0,PF,1563673731,51,-23.12,-134.97,67.55,7.81
2,Busselton,100,AU,1563673707,54,-33.64,115.35,60.01,27.69
3,Nikolskoye,42,RU,1563673734,87,59.7,30.79,60.01,6.71
4,Biltine,100,TD,1563673735,66,14.53,20.93,77.81,11.54
5,Qaanaaq,92,GL,1563673736,84,77.48,-69.36,39.83,2.66
6,Grindavik,40,IS,1563673737,93,63.84,-22.43,57.99,8.05
7,Hirara,75,JP,1563673738,83,24.8,125.28,84.2,13.87
8,Bereda,90,ES,1563673740,100,43.27,-7.54,62.6,2.24
9,Georgetown,40,GY,1563673514,83,6.8,-58.16,80.6,4.7
10,Narsaq,100,GL,1563673742,76,60.91,-46.05,51.8,4.7
11,Castro,90,CL,1563673713,100,-42.48,-73.76,39.2,5.82
12,Carnarvon,95,ZA,1563673708,71,-30.97,22.13,32.63,13.13
13,Ushuaia,0,AR,1563673718,69,-54.81,-68.31,33.8,5.82
14,Shache,0,CN,1563673747,70,38.42,77.24,84.0,15.66
15,Nouakchott,0,MR,1563673748,78,18.08,-15.98,78.8,9.17
16,Jamestown,0,AU,1563673497,63,-33.21,138.6,55.13,12.08
17,Cayenne,0,GF,1563673750,88,4.94,-52.33,77.0,3.56
18,Vaini,75,IN,1563673752,100,15.34,74.49,71.6,6.93
19,Atuona,0,PF,1563673753,75,-9.8,-139.03,79.97,10.22
20,Emba,0,CY,1563673754,94,34.81,32.42,75.2,6.93
21,Lewiston,1,US,1563673755,78,44.1,-70.21,80.6,4.7
22,Comodoro Rivadavia,0,AR,1563673757,69,-45.87,-67.48,37.4,2.24
23,Mahina,49,ML,1563673758,72,13.76,-10.85,81.59,8.5
24,Longyearbyen,75,NO,1563673496,81,78.22,15.63,42.8,14.99
25,Sigulda,0,LV,1563673760,87,57.15,24.86,54.0,1.12
26,Newport,1,US,1563673656,83,41.49,-71.31,87.01,11.41
27,Vardo,1,US,1563673763,79,39.62,-77.74,87.01,3.96
28,Hilo,1,US,1563673736,62,19.71,-155.08,84.99,11.41
29,Dunedin,100,NZ,1563673765,94,-45.87,170.5,49.37,14.79
30,Zhanaozen,0,KZ,1563673766,38,43.35,52.85,82.49,17.52
31,Arraial do Cabo,11,BR,1563673767,81,-22.97,-42.02,67.91,23.91
32,Lodwar,7,KE,1563673769,50,3.12,35.6,77.99,14.94
33,Cochrane,82,CL,1563673770,97,-47.25,-72.57,20.75,1.5
34,Banda Aceh,100,ID,1563673543,80,5.56,95.32,81.59,32.39
35,Hithadhoo,100,MV,1563673772,78,-0.6,73.08,82.85,15.75
36,Port Alfred,93,ZA,1563673773,84,-33.59,26.89,46.0,5.99
37,Ribeira Grande,0,PT,1563673775,82,38.52,-28.7,72.23,24.07
38,Hermanus,89,ZA,1563673720,81,-34.42,19.24,45.0,5.01
39,Vila Franca do Campo,40,PT,1563673777,94,37.72,-25.43,69.8,6.93
40,Sambava,57,MG,1563673778,87,-14.27,50.17,67.55,2.04
41,Praya,75,ID,1563673780,78,-8.71,116.27,78.8,13.87
42,Cabo San Lucas,40,MX,1563673699,69,22.89,-109.91,86.0,11.41
43,Avarua,93,CK,1563673782,60,-21.21,-159.78,73.4,11.41
44,Airai,88,TL,1563673783,45,-8.93,125.41,81.95,5.06
45,Bluff,64,AU,1563673704,58,-23.58,149.07,69.89,11.03
46,New Norfolk,20,AU,1563673785,58,-42.78,147.06,59.0,19.46
47,Pangnirtung,96,CA,1563673787,82,66.15,-65.72,48.29,3.96
