,city,cloudiness,country,date,humidity,latitude,longitude,max_temperature,wind_speed
0,Aklavik,75,CA,1563678257,43,68.22,-135.01,71.6,9.17
1,Avarua,93,CK,1563678257,64,-21.21,-159.78,73.4,11.41
2,Teya,75,MX,1563678257,94,21.05,-89.07,73.99,11.41
3,Husavik,0,CA,1563678257,67,50.56,-96.99,64.0,8.5
4,Castro,75,CL,1563678258,100,-42.48,-73.76,37.4,2.24
5,Mahebourg,20,MU,1563678194,100,-20.41,57.7,69.01,4.7
6,Mataura,58,NZ,1563678258,96,-46.19,168.86,51.01,3.0
7,Arraial do Cabo,11,BR,1563678258,81,-22.97,-42.02,67.91,23.91
8,Albany,90,US,1563678172,88,42.65,-73.75,75.0,6.93
9,Cape Town,0,ZA,1563678005,100,-33.93,18.42,46.99,2.24
10,Port Blair,100,IN,1563678258,79,11.67,92.75,82.49,10.71
11,New Norfolk,20,AU,1563678259,41,-42.78,147.06,59.0,26.4
12,Makakilo City,40,US,1563678045,69,21.35,-158.09,87.8,12.75
13,Khilok,34,RU,1563678259,49,51.36,110.46,71.87,4.18
14,Klaksvik,100,FO,1563678179,100,62.23,-6.59,51.8,5.82
15,Sambava,57,MG,1563678259,87,-14.27,50.17,67.55,2.04
16,Rongcheng,0,CN,1563678259,76,37.16,122.42,80.15,13.67
17,Bethel,90,US,1563678260,72,60.79,-161.76,60.8,11.41
18,Manokwari,98,ID,1563678260,68,-0.87,134.08,80.15,5.79
19,Qaanaaq,92,GL,1563678260,84,77.48,-69.36,39.83,2.66
20,Busselton,100,AU,1563678260,49,-33.64,115.35,62.01,27.69
21,Bubaque,100,GW,1563678261,83,11.28,-15.83,78.89,8.81
22,Khatanga,24,RU,1563678232,33,71.98,102.47,77.81,11.43
23,Sangar,5,RU,1563678261,34,63.92,127.47,70.61,9.42
24,Sao Filipe,100,CV,1563678261,79,14.9,-24.5,72.77,12.68
25,Ancud,75,CL,1563678218,100,-41.87,-73.83,37.4,2.24
26,Bluff,64,AU,1563678183,58,-23.58,149.07,69.89,11.03
27,Carnarvon,95,ZA,1563678261,71,-30.97,22.13,32.63,13.13
28,Anaconda,1,US,1563678262,50,46.13,-112.94,66.2,14.99
29,Ilulissat,40,GL,1563678262,87,69.22,-51.1,48.2,1.12
30,Ushuaia,0,AR,1563678262,69,-54.81,-68.31,33.8,5.82
31,Salalah,75,OM,1563678259,94,17.01,54.1,78.8,2.24
32,Punta Arenas,40,CL,1563678262,91,-53.16,-70.91,33.8,10.29
33,Kruisfontein,0,ZA,1563678263,82,-34.0,24.73,41.63,7.61
34,Oistins,40,BB,1563678263,78,13.07,-59.53,80.6,13.87
35,Rikitea,0,PF,1563678263,51,-23.12,-134.97,67.55,7.81
36,Cururupu,31,BR,1563678263,98,-1.82,-44.87,71.15,2.19
37,Hithadhoo,100,MV,1563678263,78,-0.6,73.08,82.85,15.75
38,Nome,1,US,1563678238,88,30.04,-94.42,84.99,4.7
39,Marienburg,40,DE,1563678264,93,52.12,9.98,62.6,3.36
40,Saskylakh,8,RU,1563678264,39,71.97,114.09,62.51,8.41
41,Labuhan,4,ID,1563678264,54,-2.54,115.51,89.51,2.35
42,Tuktoyaktuk,75,CA,1563678264,52,69.44,-133.03,69.8,20.8
43,Alofi,99,NU,1563678265,83,-19.06,-169.92,80.6,10.29
44,Pevek,60,RU,1563678265,85,69.7,170.27,34.61,6.69
45,Lebu,40,ET,1563678265,87,8.96,38.73,55.4,9.17
46,College,90,US,1563678265,49,64.86,-147.8,69.8,16.11
47,Ponta do Sol,100,BR,1563678265,72,-20.63,-46.0,55.31,10.38
48,Yerkoy,0,TR,1563678087,64,39.64,34.47,59.27,4.12
49,Butaritari,57,KI,1563678266,67,3.07,172.79,83.93,5.91
50,Hobart,20,AU,1563678018,41,-42.88,147.33,59.0,26.4
51,Shemonaikha,67,KZ,1563678266,63,50.63,81.92,71.69,3.51
52,Tasiilaq,100,GL,1563678266,86,65.61,-37.64,39.2,2.33
53,Ambon,90,FR,1563678267,100,47.55,-2.56,62.01,3.36
54,Garissa,31,KE,1563678267,82,-0.46,39.64,69.17,10.38
55,Puerto Ayora,8,EC,1563678267,93,-0.74,-90.35,70.0,5.01
56,Gigmoto,100,PH,1563678267,71,13.78,124.39,84.47,1.1
57,Davila,75,PH,1563678267,74,18.47,120.58,86.0,6.93
58,Pivka,97,SI,1563678268,77,45.68,14.2,75.0,8.05
59,Kapaa,90,US,1563678268,69,22.08,-159.32,87.8,14.99
60,Hasaki,75,JP,1563678002,88,35.73,140.83,78.01,6.93
61,Kirakira,43,SB,1563678268,81,-10.46,161.92,79.25,19.17
62,Longyearbyen,75,NO,1563678268,86,78.22,15.63,41.0,12.75
63,Guane,19,CU,1563678269,73,22.2,-84.09,85.01,8.77
64,Lavrentiya,100,RU,1563678269,86,65.58,-170.99,48.11,7.27
65,Shingu,75,JP,1563678269,83,33.72,135.99,82.4,13.87
66,Atuona,0,PF,1563678208,75,-9.8,-139.03,79.97,10.22
67,General Roca,0,AR,1563678269,55,-39.03,-67.58,60.8,16.11
68,Victoria,75,BN,1563678270,75,5.28,115.24,89.6,3.36
69,Zhigansk,0,RU,1563678270,27,66.77,123.37,75.65,11.95
